database,partition_level,region,k_iteration,classifier,sensitivity,MC,OC,EPQ,N_known,N_novel,N
unite,fam,Full,0,RDP,0.7046917753098342,0.29530822469016577,0.052812650893288265,0.22602377503391508,124260,49704,173964
unite,fam,Full,0,BLAST,0.7338886206341542,0.26611137936584583,0.049714308707548685,0.20428364489204662,124260,49704,173964
unite,fam,Full,0,SINTAX,0.6724529212940609,0.3275470787059392,0.01537099629808466,0.23835391230369501,124260,49704,173964
unite,fam,Full,0,Consensus,0.751770481248994,0.24822951875100596,0.09272895541606309,0.2038007863695937,124260,49704,173964
unite,fam,ITS1,0,RDP,0.570697242520893,0.42930275747910696,0.028644676813759134,0.31482902014615044,123845,49538,173383
unite,fam,ITS1,0,BLAST,0.4664055876296984,0.5335944123703016,0.05296943760345593,0.3962729910083457,123845,49538,173383
unite,fam,ITS1,0,SINTAX,0.6096653074407525,0.39033469255924746,0.02684807622431265,0.2864813736064089,123845,49538,173383
unite,fam,ITS1,0,Consensus,0.6328878840486092,0.36711211595139087,0.0832895958658,0.2860199673555078,123845,49538,173383
unite,fam,ITS2,0,RDP,0.5813925229859451,0.4186074770140548,0.024120053465105918,0.305896784571498,123445,49378,172823
unite,fam,ITS2,0,BLAST,0.48274940256794524,0.5172505974320548,0.04888816882012232,0.38343276068578835,123445,49378,172823
unite,fam,ITS2,0,SINTAX,0.6446271618939609,0.35537283810603915,0.020636720806837053,0.25973394744912426,123445,49378,172823
unite,fam,ITS2,0,Consensus,0.6570456478593706,0.3429543521406294,0.07308923002146706,0.26585003153515446,123445,49378,172823
unite,fam,Full,1,RDP,0.6950577417765859,0.30494225822341414,0.0638990750369438,0.23607277731299406,91355,36542,127897
unite,fam,Full,1,BLAST,0.730250123145969,0.26974987685403096,0.06077937715505446,0.21004401979718054,91355,36542,127897
unite,fam,Full,1,SINTAX,0.6592633134475399,0.3407366865524602,0.01658365716162224,0.24812153529793507,91355,36542,127897
unite,fam,Full,1,Consensus,0.7519457063105468,0.24805429368945323,0.11121449291226534,0.20895720775311383,91355,36542,127897
unite,fam,ITS1,1,RDP,0.5462087912087912,0.45379120879120877,0.0367032967032967,0.3346232339089482,91000,36400,127400
unite,fam,ITS1,1,BLAST,0.4419450549450549,0.558054945054945,0.06519230769230769,0.4172370486656201,91000,36400,127400
unite,fam,ITS1,1,SINTAX,0.5984175824175825,0.4015824175824176,0.02543956043956044,0.2941130298273155,91000,36400,127400
unite,fam,ITS1,1,Consensus,0.6196923076923077,0.3803076923076923,0.09197802197802198,0.2979277864992151,91000,36400,127400
unite,fam,ITS2,1,RDP,0.582343552204304,0.41765644779569594,0.038692278056029504,0.3093809707272198,90845,36338,127183
unite,fam,ITS2,1,BLAST,0.4904067367494083,0.5095932632505916,0.07124772964940283,0.3843516822216806,90845,36338,127183
unite,fam,ITS2,1,SINTAX,0.6316913423963895,0.36830865760361053,0.029225604050855853,0.27142778515996635,90845,36338,127183
unite,fam,ITS2,1,Consensus,0.6472673234630415,0.35273267653695856,0.10297759920744125,0.28137408301423933,90845,36338,127183
unite,fam,Full,2,RDP,0.6956917941083592,0.3043082058916407,0.05679613840393378,0.23359047232372446,110835,44334,155169
unite,fam,Full,2,BLAST,0.7377723643253485,0.2622276356746515,0.05052555600667659,0.20174132719808724,110835,44334,155169
unite,fam,Full,2,SINTAX,0.678206342761763,0.321793657238237,0.025127441692606126,0.23703188136805675,110835,44334,155169
unite,fam,Full,2,Consensus,0.7539315198267695,0.2460684801732305,0.10840438489646773,0.20673588152272684,110835,44334,155169
unite,fam,ITS1,2,RDP,0.5577198225119986,0.44228017748800147,0.02909082676808838,0.324226077282312,110430,44172,154602
unite,fam,ITS1,2,BLAST,0.46537172869691207,0.5346282713030879,0.05324640043466449,0.3970905939121098,110430,44172,154602
unite,fam,ITS1,2,SINTAX,0.6096350629357964,0.39036493706420355,0.02284252467626551,0.2853585335247927,110430,44172,154602
unite,fam,ITS1,2,Consensus,0.6288870777868333,0.3711129222131667,0.08186181291315765,0.28846974812744985,110430,44172,154602
unite,fam,ITS2,2,RDP,0.5744590119312253,0.42554098806877466,0.02971464864129202,0.31244774823235105,110215,44086,154301
unite,fam,ITS2,2,BLAST,0.5112824933085334,0.4887175066914667,0.08694370094814681,0.37392499076480384,110215,44086,154301
unite,fam,ITS2,2,SINTAX,0.6416005080978088,0.35839949190219117,0.02179830331624552,0.26222772373477815,110215,44086,154301
unite,fam,ITS2,2,Consensus,0.657968516082203,0.34203148391779703,0.11184956675588623,0.2762652218715368,110215,44086,154301
unite,fam,Full,3,RDP,0.671523178807947,0.32847682119205296,0.06365257259296994,0.25281275016374355,98150,39260,137410
unite,fam,Full,3,BLAST,0.7311971472236373,0.26880285277636273,0.05229240957717779,0.20694272614802417,98150,39260,137410
unite,fam,Full,3,SINTAX,0.6737442689760571,0.32625573102394295,0.023993886907794193,0.23989520413361473,98150,39260,137410
unite,fam,Full,3,Consensus,0.7423637289862456,0.25763627101375447,0.11148751910341315,0.21587948475365695,98150,39260,137410
unite,fam,ITS1,3,RDP,0.5268941525553793,0.47310584744462064,0.023072594259988744,0.34452491796329726,97735,39094,136829
unite,fam,ITS1,3,BLAST,0.43169795876605105,0.5683020412339489,0.04834501458024249,0.4197428907614614,97735,39094,136829
unite,fam,ITS1,3,SINTAX,0.59120069575894,0.40879930424106004,0.02123087941883665,0.2980654685775676,97735,39094,136829
unite,fam,ITS1,3,Consensus,0.6142118995242236,0.38578810047577633,0.07261983936153886,0.29631145444313706,97735,39094,136829
unite,fam,ITS2,3,RDP,0.5518956254796623,0.4481043745203377,0.04088002046559222,0.33175455907612467,97725,39090,136815
unite,fam,ITS2,3,BLAST,0.46321821437707855,0.5367817856229214,0.07239703248912766,0.40410042758469467,97725,39090,136815
unite,fam,ITS2,3,SINTAX,0.6193911486313636,0.3806088513686365,0.03967766692248657,0.2831999415268794,97725,39090,136815
unite,fam,ITS2,3,Consensus,0.6367869020209772,0.3632130979790228,0.11573292402148887,0.2925044768482988,97725,39090,136815
unite,fam,Full,4,RDP,0.7192993212174293,0.2807006787825706,0.07392161156119992,0.2216209452907504,114175,45670,159845
unite,fam,Full,4,BLAST,0.749235822202759,0.2507641777972411,0.043004160280271514,0.19140417279239264,114175,45670,159845
unite,fam,Full,4,SINTAX,0.7013181519597109,0.298681848040289,0.02231223998248303,0.2197191028809159,114175,45670,159845
unite,fam,Full,4,Consensus,0.75880884606963,0.24119115393037005,0.10886796584190934,0.20338452876223842,114175,45670,159845
unite,fam,ITS1,4,RDP,0.5865254460754153,0.4134745539245847,0.02691834402742375,0.30302992252539585,113770,45508,159278
unite,fam,ITS1,4,BLAST,0.48511909993847235,0.5148809000615276,0.06697723477190824,0.3869084242644935,113770,45508,159278
unite,fam,ITS1,4,SINTAX,0.641671793970291,0.35832820602970905,0.019666871758811637,0.2615678248094527,113770,45508,159278
unite,fam,ITS1,4,Consensus,0.6580293574756086,0.3419706425243913,0.08822624593478069,0.2694722434987883,113770,45508,159278
unite,fam,ITS2,4,RDP,0.6281014332965822,0.37189856670341787,0.026262403528114663,0.2731453772247598,113375,45350,158725
unite,fam,ITS2,4,BLAST,0.5306813671444321,0.4693186328555678,0.055810363836824695,0.3511734131359269,113375,45350,158725
unite,fam,ITS2,4,SINTAX,0.6761455347298787,0.3238544652701213,0.022425578831312017,0.23773192628760434,113375,45350,158725
unite,fam,ITS2,4,Consensus,0.6868445424476296,0.31315545755237045,0.07830209481808159,0.24605449677114508,113375,45350,158725
unite,gen,Full,0,RDP,0.774716007234449,0.22528399276555103,0.09729927452295312,0.20700046158803703,98418,16403,114821
unite,gen,Full,0,BLAST,0.7885955821089639,0.2114044178910362,0.008108272876912759,0.18236211146044712,98418,16403,114821
unite,gen,Full,0,SINTAX,0.7452193704403666,0.2547806295596334,0.0,0.21838339676540006,98418,16403,114821
unite,gen,Full,0,Consensus,0.8013777967444979,0.19862220325550203,0.10272511126013534,0.18492261868473536,98418,16403,114821
unite,gen,ITS1,0,RDP,0.6718820167381098,0.3281179832618902,0.047274954072259644,0.2879975505205144,97980,16330,114310
unite,gen,ITS1,0,BLAST,0.6026433966115534,0.39735660338844664,0.04286589099816289,0.3467150730469775,97980,16330,114310
